ADDITIONAL_TEXT;ID_LANGUAGE;PARAMETER_NUMBER;ERROR_TEXT;INVOKE_TYPE
bd.BD_IRQ_failure;5;3;BD %2%. The Internal Test Manager Software Component has detected an error (IRQ failure). %3%.;clc
bd.BD_null_arg;1;3;BD %2%. El manejador de configuración ha detectado un error (argumento vacío). %3%.;clc
bd.BD_null_arg;5;3;BD %2%. The Configuration Manager has detected an error (NULL arg). %3%.;clc
bd.BD_RAM_test_failure;1;3;BD %2%. El test de RAM en línea ha detectado un falló en la RAM. %3%.;clc
bd.BD_RAM_test_failure;5;3;BD %2%. The online RAM test detected a fault in the RAM. %3%.;clc
bd.BD_RAM_test_timeout;1;3;BD %2%. El test de RAM en línea ha excedido el tiempo permitido. %3%.;clc
bd.BD_RAM_test_timeout;5;3;BD %2%. The online RAM test exceeded the allowed time. %3%.;clc
bd.BD_register_failure;1;3;BD %2%. El manejador de test internos ha detectado un error (falló en el registro). %3%.;clc
bd.BD_register_failure;5;3;BD %2%. The Internal Test  Manager has detected an error (register failure). %3%.;clc
bd.BD_SEEPROM_failed;1;3;BD %2%. En la EEPROM serie fue detectada una avería. %3%.;clc
bd.BD_SEEPROM_failed;5;3;BD %2%. The Serial EEPROM was detected to be fault. %3%.;clc
bd.BD_write_failure;1;3;BD %2%. El proceso de escritura en la EEPROM ha fallado. %3%.;clc
bd.BD_write_failure;5;3;BD %2%. The writing process to the EEPROM has failed. %3%.;clc
bd.Booting_channel_A;1;2;BD %2%. Canal A arrancando.;clc
bd.Booting_channel_A;5;2;BD %2%. Channel A is booting.;clc
bd.Booting_channel_B;1;2;BD %2%. Canal B arrancando.;clc
bd.Booting_channel_B;5;2;BD %2%. Channel B is booting.;clc
bd.Cabinet ID;1;3;BD %2%. Identificador de armario %3%.;clc
bd.Cabinet ID;5;3;BD %2%. Cabinet ID %3%.;clc
bd.Cabinet_ID;1;3;BD %2%. Identificador de armario %3%.;clc
bd.Cabinet_ID;5;3;BD %2%. Cabinet ID %3%.;clc
bd.Calibration_excessive;1;3;BD %2%. La diferencia entre la calibración previa y la actual fue muy grande. %3%.;clc
bd.Calibration_excessive;5;3;BD %2%. The difference between the previous and the actual calibration value was too big. %3%.;clc
bd.CAN2_failed;1;3;BD %2%. El controlador CAN ha detectado un error en el segundo bus del CAN. %3%.;clc
bd.CAN2_failed;5;3;BD %2%. The CAN controller has detected an error with the second CAN bus. %3%.;clc
bd.CAN2_rec_rx_fifo_overflow;1;2;BD %2%. CAN2_rec: rx_fifo_overflow.;clc
bd.CAN2_rec_rx_fifo_overflow;5;2;BD %2%. CAN2_rec: rx_fifo_overflow;clc
bd.CID_disabled;1;2;BD %2%. El controlador CID no está activado en la actual configuración cargada.;clc
bd.CID_disabled;5;2;BD %2%. The CID check is disabled in the currently loaded configuration.;clc
bd.CID_expired;1;2;BD %2%. CID/BDID ha caducado.;clc
bd.CID_expired;5;2;BD %2%. CID/BDID to expired.;clc
bd.CID_incorrect;1;2;BD %2%. Los valores del CID y/o BDID no corresponden con la configuración del LEU y el "back panel".;clc
bd.CID_incorrect;5;2;BD %2%. The values for CID and/or BDID do not correspond between the LEU configuration and the back panel.;clc
bd.Cif_delay_handler;1;3;BD %2%. El manejador CIF Delay no pudo ser arrancado. %3%.;clc
bd.Cif_delay_handler;5;3;BD %2%. The CIF Delay Handler could not be started. %3%.;clc
bd.Cif_handler;1;3;BD %2%. El manejador del Interfaz C no pudo ser arrancado. %3%.;clc
bd.Cif_handler;5;3;BD %2%. The C-Interface Handler could not be started. %3%.;clc
bd.CIF_message_nok;1;3;BD %2%. El manejador del Interfaz C proveió un mensaje de error.  Un error fue detectado mientras que leía detrás la dirección que coloca en el GPIO. %3%.;clc
bd.CIF_message_nok;5;3;BD %2%. The C-Interface Handler supplied an error message. An error was detected while reading back the direction register in the GPIO. %3%.;clc
bd.CIF_Off;1;2;BD %2%. El Interfaz-C ha cambiado a OFF.;clc
bd.CIF_Off;5;2;BD %2%. The C-Inteface was turned off.;clc
bd.CIF_On;1;2;BD %2%. El Interfaz-C ha cambiado a ON.;clc
bd.CIF_On;5;2;BD %2%. The C-Inteface was turned on.;clc
bd.Confg_version;1;3;BD %2%. Versión de configuración %3%.;clc
bd.Confg_version;5;3;BD %2%. Configuration version %3%.;clc
bd.Config_date;1;3;BD %2%. Fecha de configuración %3%.;clc
bd.Config_date;5;3;BD %2%. Configuration date %3%.;clc
bd.Config_loaded_date;1;3;BD %2%. Fecha de configuración cargada el %3%.;clc
bd.Config_loaded_date;5;3;BD %2%. Configuration loaded date %3%.;clc
bd.Config_loaded_time;1;3;BD %2%. Hora de configuración cargada el %3%.;clc
bd.Config_loaded_time;5;3;BD %2%. Configuration loaded time%3%.;clc
bd.Config_manager;1;3;BD %2%. El administrador de la configuración no pudo ser arrancado. %3%.;clc
bd.Config_manager;5;3;BD %2%. The Configuration Manager could not be started. %3%.;clc
bd.Config_time;1;3;BD %2%. Hora de configuración %3%.;clc
bd.Config_time;5;3;BD %2%. Configuration time %3%.;clc
bd.Config_unchanged;1;2;BD %2%. El BD cambio del modo de configuración, pero no ha podido ser cambiado.;clc
bd.Config_unchanged;5;2;BD %2%. Loaded configuration could not be changed.;clc
bd.CPU_type;1;3;BD %2%. Tipo de CPU %3%.;clc
bd.CPU_type;5;3;BD %2%. CPU type %3%.;clc
bd.CreateStdTask_idle_process;1;3;BD %2%. Una función interna del sistema operativo falló (proceso createStdTask). %3%.;clc
bd.CreateStdTask_idle_process;5;3;BD %2%. An internal function of the operating system failed (createStdTask idle process). %3%.;clc
bd.Channel_mismatch;1;3;BD %2%. El software de los canales fue cargado intercambiado. %3%.;clc
bd.Channel_mismatch;5;3;BD %2%. The software for the channels were loaded exchanged (channel mismatch). %3%.;clc
bd.Data_bus_failure;1;3;BD %2%. El test del bus de datos en línea ha detectado un error. %3%.;clc
bd.Data_bus_failure;5;3;BD %2%. The Data Bus online test has detected an error. %3%.;clc
bd.Enable_remote_cif;1;2;BD %2%. El Interfaz-C de otro canal fue activado.;clc
bd.Enable_remote_cif;5;2;BD %2%. The C-Inteface of the other channel was enabled.;clc
bd.External_input_is_not_plausible;1;3;BD %2%. La entrada externa %3%, especificada en el fichero, no tiene espacio.;clc
bd.External_input_is_not_plausible;5;3;BD %2%. An external input %3%, which is specified in the file, is not plausible.;clc
bd.External_time_stamp;1;3;BD %2%. Fecha y hora externa %3%.;clc
bd.External_time_stamp;5;3;BD %2%. External time stamp %3%.;clc
bd.FPGA_activate_failed;1;3;BD %2%. El administrador de telegramas ha detectado un error (el FPGA activo falló). %3%.;clc
bd.FPGA_activate_failed;5;3;BD %2%. The Telegram Manager has detected an error (FPGA activate failed). %3%.;clc
bd.FPGA_bits_used_bad;1;3;BD %2%. El software ha detectado un número de datos FPGA no válidos durante los test de arranque (FPGA_BITS_USED mal). %3%.;clc
bd.FPGA_bits_used_bad;5;3;BD %2%. The software has detected an invalid number of FPGA data bits during the startup tests (FPGA_BITS_USED bad). %3%.;clc
bd.FPGA_inteface_c;1;2;BD %2%. La baliza está conectada a este canal SW.;clc
bd.FPGA_inteface_c;5;2;BD %2%. A balise is connected to this SW channel.;clc
bd.FPGA_interface_loop;1;2;BD %2%. La bucle está conectada a este canal SW.;clc
bd.FPGA_interface_loop;5;2;BD %2%. A loop is connected to this SW channel.;clc
bd.FPGA_memory_failed;1;3;BD %2%. Ha ocurrido un error durante el test FPGA (error en la memoria FPGA). %3%.;clc
bd.FPGA_memory_failed;5;3;BD %2%. An error has occurred during the FPGA test (FPGA memory failed). %3%.;clc
bd.FPGA_type1_loaded;1;2;BD %2%. El FPGA fue encontrado y cargado.;clc
bd.FPGA_type1_loaded;5;2;BD %2%. The FPGA was found and loaded.;clc
bd.FPGA_write_failed;1;3;BD %2%. El administrador de telegramas ha detectado un error (el FPGA falló al escribir). %3%.;clc
bd.FPGA_write_failed;5;3;BD %2%. The Telegram Manager has detected an error (FPGA write failed). %3%.;clc
bd.GPIO_diff_no_GPIO;1;3;BD %2%. Modo de trabajo no válido de GPIO %3%.;clc
bd.GPIO_diff_no_GPIO;5;3;BD %2%. Invalid working GPIO %3%.;clc
bd.GPIO_direction_failed;1;3;BD %2%. Un error fue detectado mientras se leía la dirección del registro del GPIO. %3%.;clc
bd.GPIO_direction_failed;5;3;BD %2%. An error was detected while reading back the direction register in the GPIO. %3%.;clc
bd.HW_configuration;1;3;BD %2%. Configuración del HW. %3%.;clc
bd.HW_configuration;5;3;BD %2%. HW Configuration. %3%;clc
bd.IMN_max_reset_exceeded;1;3;BD %2%. IMN: Reseteo máximo excedido %3%.;clc
bd.IMN_max_reset_exceeded;5;3;BD %2%. IMN: max reset exceeded %3%.;clc
bd.Initial_boot_completed;1;2;BD %2%. La fase inicial de arranque se ha completado, y todos los componentes software requerido fueron arrancados correctamente.;clc
bd.Initial_boot_completed;5;2;BD %2%. Boot phase completed, required software components started successfully.;clc
bd.Invalid_CAN_msg;1;3;BD %2%. Mensaje CAN recibido no válido. %3%.;clc
bd.Invalid_CAN_msg;5;3;BD %2%. Invalid CAN message received. %3%.;clc
bd.Invalid_CAN_object;1;3;BD %2%. El manejador de comunicaciones de interprocesos ha detectado un error (objeto CAN no válido). %3%.;clc
bd.Invalid_CAN_object;5;3;BD %2%. The Interprocessor Communication Handler has detected an error (invalid CAN object). %3%.;clc
bd.Invalid_crc;1;2;BD %2%. CRC no válido.;clc
bd.Invalid_crc;5;2;BD %2%. Invalid CRC;clc
bd.Invalid_parameter;1;2;BD %2%. Un parámetro no válido ha sido recibido por la línea serie, y no ha podido ser cargado.;clc
bd.Invalid_parameter;5;2;BD %2%. Invalid parameter received on serial line couldnt be set.;clc
bd.IPC_CAN_failed;1;3;BD %2%. El controlador CAN ha detectado un error en el bus CAN (IPC: falló CAN). %3%.;clc
bd.IPC_CAN_failed;5;3;BD %2%. The CAN controller has detected an error with the CAN bus (IPC: CAN failed). %3%.;clc
bd.IPC_challenge_misconfig;1;3;BD %2%. El manejador de comunicaciones de interprocesos ha detectado un error (IPC: configuración vacía). %3%.;clc
bd.IPC_challenge_misconfig;5;3;BD %2%. The Interprocess Communication Handler has detected an error (IPC: challenge misconfig). %3%.;clc
bd.Ipc_handler;1;3;BD %2%. El manejador de comunicaciones de interprocessos no pudo ser arrancado. %3%.;clc
bd.Ipc_handler;5;3;BD %2%. The Interprocess Communication Handler could not be started. %3%.;clc
bd.IPC_handler_failed;1;3;BD %2%. Un error en las comunicaciones entre los canales A y B ha sido detectado. %3%.;clc
bd.IPC_handler_failed;5;3;BD %2%. An error concerning the communication between the Channel A and B was detected. %3%.;clc
bd.IPC_rnd_seed_0;1;3;BD %2%. Un error interno ha ocurrido en el software de la LEU (IPC: Rnd selecciona  0). %3%.;clc
bd.IPC_rnd_seed_0;5;3;BD %2%. An internal error has occurred in the LEU-software (IPC: Rnd seed 0). %3%.;clc
bd.IPC_tx_fifo_underflow;1;3;BD %2%. La pila FIFO (primero en entrar, primero en salir) del controlador CAN se ha desbordado (IPC: tx fifo desbodado). %3%.;clc
bd.IPC_tx_fifo_underflow;5;3;BD %2%. The fifo of the CAN controller has underflow (IPC: tx_fifo underflow). %3%.;clc
bd.IPC_version_mismatch;1;3;BD %2%. El software de los canales A y B tiene diferente número de versión (IPC: la versión no concuerda). %3%.;clc
bd.IPC_version_mismatch;5;3;BD %2%. The software of channel A and B have different version numbers (IPC: Version mismatch). %3%.;clc
bd.Itest_mgr;1;3;BD %2%. El administrador de test internos no pudo ser arrancado. %3%.;clc
bd.Itest_mgr;5;3;BD %2%. The Internal Test Manager could not be started. %3%.;clc
bd.Itest_mgr_failed;1;3;BD %2%. Un error en el adminitrador de test fue detectado. %3%.;clc
bd.Itest_mgr_failed;5;3;BD %2%. An error concerning the internal test manager was detected. %3%.;clc
bd.Last_reboot;1;3;BD %2%. Último arranque (en días): %3%.;clc
bd.Last_reboot;5;3;BD %2%. Last reboot (for days): %3%.;clc
bd.LEU_error_shutdown;1;3;BD %2%. Después del rearranque el software ha detectado que le BD tiene un error previo en el apagado. %3%.;clc
bd.LEU_error_shutdown;5;3;BD %2%. After a reset or a restart the Software has detected that the BD has been in error shut down before and enters this state again. %3%.;clc
bd.Leu_id;1;3;BD %2%. Identificador del LEU %3%.;clc
bd.Leu_id;5;3;BD %2%. LEU identifier %3%.;clc
bd.LEU_id_mismatch;1;3;BD %2%. Identificador de LEU %3% no manejado;clc
bd.LEU_id_mismatch;5;3;BD %2%. LEU Id %3% mismatch.;clc
bd.LLP2_fail;1;3;BD %2%. El manejador serie ha detectado un error (error en el LLP2). %3%.;clc
bd.LLP2_fail;5;3;BD %2%. The Serial Handler has detected an error (LLP2 fail). %3%.;clc
bd.Max_aspect_mismatch;1;3;BD %2%. El administrador de telegramas ha detectado repetidas diferencias entre los canales A y B (demasidos aspectos no encontrados). %3%.;clc
bd.Max_aspect_mismatch;5;3;BD %2%. The Telegram Manager has detected a repeating difference between channel A and B (max aspect mismatch). %3%.;clc
bd.Max_aspect_rep;1;2;BD %2%. El número máximo de repeticiones de tipos aspectos ha sido superado.;clc
bd.Max_aspect_rep;5;2;BD %2%. Max aspect type repetitions exceeded, the CEC or modem repeats aspect frames (hangup).;clc
bd.Measurement_handler;1;3;BD %2%. El manejador de medidas no pudo ser arrancado. %3%.;clc
bd.Measurement_handler;5;3;BD %2%. The Measurement Handler could not be started. %3%.;clc
bd.Measurement_handler_failed;1;3;BD %2%. El manejador de medidas ha dectectado el error %3%.;clc
bd.Measurement_handler_failed;5;3;BD %2%. An error concerning the measurement handler was detected. %3%.;clc
bd.Message_to_long;1;3;BD %2%. Mensaje demasido largo, %3% bytes.;clc
bd.Message_to_long;5;3;BD %2%. Message to long, %3% bytes.;clc
bd.Message_transfer_failed;1;3;BD %2%. El administrador de telegramas no pudó comunicarse con el manejador del Interfaz-C (error en el mensaje transferido). %3%.;clc
bd.Message_transfer_failed;5;3;BD %2%. The Telegram Manager was not able to communicate with the C-Interface handler (message transfer failed). %3%.;clc
bd.Missconfig_not_used;1;3;BD %2%. Falta la configuración. %3%.;clc
bd.Missconfig_not_used;5;3;BD %2%. Missing configuration, not used. %3%.;clc
bd.Modem_XOFF;1;2;BD %2%. El modem ha recibido XOFF.;clc
bd.Modem_XOFF;5;2;BD %2%. XOFF from modem received.;clc
bd.Modem_XON;1;2;BD %2%. El modem ha recibido XON.;clc
bd.Modem_XON;5;2;BD %2%. XON from modem received.;clc
bd.No_address_mode_defined;1;3;BD %2%. El manjador RIF necesita enviar un mensaje, pero la dirección del mensaje no está especificado en esta configuración. %3%.;clc
bd.No_address_mode_defined;5;3;BD %2%. The RIF handler wants to send a message but the addressing of the message frame is not specified for this configuration. %3%.;clc
bd.No_challenge_response;1;3;BD %2%. El otro canal no pudo en varias ocasiones contestar a la identificación %3% y del intercambio del mensaje de vida (ninguna respuesta).;clc
bd.No_challenge_response;5;3;BD %2%. The other channel repeatedly failed to answer the identification %3% and heartbeat challenge (no challenge response).;clc
bd.No_FPGA_found;1;2;BD %2%. El FPGA no puede ser detectado.;clc
bd.No_FPGA_found;5;2;BD %2%. No FPGA can be detected.;clc
bd.Null_serial_request;1;3;BD %2%. El manejador serie ha detectado un error (petición serie NULL). %3%.;clc
bd.Null_serial_request;5;3;BD %2%. The Serial Handler has detected an error (NULL serial request). %3%.;clc
bd.PxInit_failed;1;3;BD %2%. La inicialización del OS falló (PxInit falló). %3%.;clc
bd.PxInit_failed;5;3;BD %2%. The initialization of the OS failed (PxInit failed). %3%.;clc
bd.PxMsgReceive_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxMsgReceive). %3%.;clc
bd.PxMsgReceive_failed;5;3;BD %2%. An internal function of the operating system failed (PxMsgReceive failed). %3%.;clc
bd.PxMsgSend_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxMsgSend). %3%.;clc
bd.PxMsgSend_failed;5;3;BD %2%. An internal function of the operating system failed (PxMsgSend failed). %3%.;clc
bd.PxPeInit_failed;1;3;BD %2%. Falló el PxPeInit. %3%.;clc
bd.PxPeInit_failed;5;3;BD %2%. PxPeInit failed. %3%.;clc
bd.PxPeStart_failed;1;3;BD %2%. Falló el PxPeStart. %3%.;clc
bd.PxPeStart_failed;5;3;BD %2%. PxPeStart failed. %3%.;clc
bd.PxToClear_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxToClear). %3%.;clc
bd.PxToClear_failed;5;3;BD %2%. An internal function of the operation system failed (PxToClear failed). %3%.;clc
bd.PxToEnvelop_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxToEnvelop). %3%.;clc
bd.PxToEnvelop_failed;5;3;BD %2%. An internal function of the operation system failed (PxToEnvelop failed). %3%.;clc
bd.PxToInit_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxToInit). %3%.;clc
bd.PxToInit_failed;5;3;BD %2%. An internal function of the operation system failed (PxToInit failed). %3%.;clc
bd.PxToStart_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxToStart). %3%.;clc
bd.PxToStart_failed;5;3;BD %2%. An internal function of the operation system failed (PxToStart failed). %3%.;clc
bd.PxToStop_failed;1;3;BD %2%. Una función interna del sistema operativo ha fallado (falló en PxToStop). %3%.;clc
bd.PxToStop_failed;5;3;BD %2%. An internal function of the operation system failed (PxToStop failed). %3%.;clc
bd.Readback_failure;1;3;BD %2%. El proceso del repaso de la memoria del telegrama de FPGA falló. %3%.;clc
bd.Readback_failure;5;3;BD %2%. The read-back process from the FPGA telegram memory failed. %3%.;clc
bd.Req_error_shutdown;1;2;BD %2%. Solicito a la LEU el ERROR CRITICO sobre le Interfaz remoto 1-b.;clc
bd.Req_error_shutdown;5;2;BD %2%. Requested LEU ERROR SHUTDOWN over Remote Interface (if1b).;clc
bd.RIF_buffer_overrun;1;2;BD %2%. El Interfaz del manejador remoto ha intentado enviar más de 5 mensajes.;clc
bd.RIF_buffer_overrun;5;2;BD %2%. The Remote Interface Handler has tried to send more than 5 messages while go and return time.;clc
bd.RIF_closed_because_overloaded;1;2;BD %2%. Demasiados mensajes RIF están sobrecargando el sistema. Cerciórese de que la sincronización del mensaje de RIF, según lo especificado en IF1B. La conexión es cerrada por 15 segundos.;clc
bd.RIF_closed_because_overloaded;5;2;BD %2%. Too much RIF messages are overloading the system. Make sure that the RIF message timing, as specified in If1b, is given. Connection is closed for 15 seconds.;clc
bd.RIF_handle_command_destlen_exceeded;1;3;BD %2%. El Interfaz remoto ha detectado un "destlen". %3%.;clc
bd.RIF_handle_command_destlen_exceeded;5;3;BD %2%. The Remote Interface Handler has detected an destlen (RIF: handle_command: destlen). %3%.;clc
bd.RIF_handle_command_return_NOK;1;3;BD %2%. Manajador del comando RIF: Devuelve ERROR %3%.;clc
bd.RIF_handle_command_return_NOK;5;3;BD %2%. RIF handle command: Return NOK %3%.;clc
bd.Rif_handler;1;3;BD %2%. El manejador del Interfaz remoto no pudo ser arrancado. %3%.;clc
bd.Rif_handler;5;3;BD %2%. The Remote Interface Handler could not be started. %3%.;clc
bd.RIF_IF1_handled_pln_service;1;3;BD %2%. RIF: Interfaz 1 maneja el servicio %3%.;clc
bd.RIF_IF1_handled_pln_service;5;3;BD %2%. RIF: IF1 handled pln_service %3%.;clc
bd.RIF_IF1_unhandled_pln_service;1;3;BD %2%. RIF: Interfaz 1 no maneja el servicio %3%.;clc
bd.RIF_IF1_unhandled_pln_service;5;3;BD %2%. RIF: IF1 unhandled pln_service %3%.;clc
bd.RIF_invalid_BDDES_4_ECAN;1;3;BD %2%. El Interfaz remoto ha detectado un inválido DBDES 4 ECAN. %3%.;clc
bd.RIF_invalid_BDDES_4_ECAN;5;3;BD %2%. The Remote Interface has detected an invalid BDDES 4 ECAN. %3%.;clc
bd.RIF_invalid_return_type;1;3;BD %2%. El Interfaz remoto ha detectado un tipo no válido. %3%.;clc
bd.RIF_invalid_return_type;5;3;BD %2%. The Remote Interface has detected an invalid return type (RIF: Invalid return type). %3%.;clc
bd.RIF_message_buffer_overrun;1;3;BD %2%. Se ha sobrepasado el tamaño del buffer de mensajes del Interfaz remoto. %3%.;clc
bd.RIF_message_buffer_overrun;5;3;BD %2%. The Remote Interface has overrun the message buffer (RIF: Message buffer overrun). %3%.;clc
bd.RIF_new_UL_aborting_actual_UL;1;2;BD %2%. Nuevo UL en RIF -> abortando actual UL!;clc
bd.RIF_new_UL_aborting_actual_UL;5;2;BD %2%. RIFnew UL -> aborting actual UL;clc
bd.RIF_opened;1;2;BD %2%. RIF fue cerrado durante 15 segundos por que él estaba sobrecargado, y se reabrirá otra vez.;clc
bd.RIF_opened;5;2;BD %2%. RIF was closed for 15 seconds because it was overloaded and is reopened again.;clc
bd.RIF_ULCMDRES_different_0;1;3;BD %2%. RIF: %3% ULCMDRES != 0.;clc
bd.RIF_ULCMDRES_different_0;5;3;BD %2%. RIF: %3% ULCMDRES !",1,2," 0.;clc
bd.Serial_handler;1;3;BD %2%. El manejador serie no pudo ser arrancado. %3%.;clc
bd.Serial_handler;5;3;BD %2%. The Serial Handler could not be started. %3%.;clc
bd.Sig_data_date;1;3;BD %2%. Fecha de generación de los datos %3%.;clc
bd.Sig_data_date;5;3;BD %2%. Generation data date %3%.;clc
bd.Sig_data_loaded_date;1;3;BD %2%. Fecha de generación y carga de los datos %3%.;clc
bd.Sig_data_loaded_date;5;3;BD %2%. Generation and loading data date %3%.;clc
bd.Sig_data_loaded_time;1;3;BD %2%. Hora de generación y carga de los datos %3%.;clc
bd.Sig_data_loaded_time;5;3;BD %2%. Generation and loading data time %3%.;clc
bd.Sig_data_time;1;3;BD %2%. Hora de generación de los datos %3%.;clc
bd.Sig_data_time;5;3;BD %2%. Generation data time %3%.;clc
bd.Sig_data_version;1;3;BD %2%. Version generada %3%.;clc
bd.Sig_data_version;5;3;BD %2%. Generation version %3%.;clc
bd.StdInit_failed;1;3;BD %2%. La inicialización del OS falló (StdInit falló). %3%.;clc
bd.StdInit_failed;5;3;BD %2%. The initialization of the OS failed (StdInit failed). %3%.;clc
bd.Telegram_manager;1;3;BD %2%. El administrador de telegramas no pudo ser arrancado. %3%.;clc
bd.Telegram_manager;5;3;BD %2%. The Telegram Manager could not be started. %3%.;clc
bd.Telegram_manager_failed;1;3;BD %2%. Un componente del software del administrador de telegramas ha fallado. %3%.;clc
bd.Telegram_manager_failed;5;3;BD %2%. The Telegram Manager Software Component has failed. %3%.;clc
bd.This_is_reboot;1;3;BD %2%. El número de arranques de la BD es %3%.;clc
bd.This_is_reboot;5;3;BD %2%. The numbers of reboots of the BD is %3%.;clc
bd.Unknown_IPC_CAN_service;1;3;BD %2%. Desconodifo el servicio IPC/CAN %3%.;clc
bd.Unknown_IPC_CAN_service;5;3;BD %2%. Unknown IPC/CAN service %3%.;clc
bd.Unknown_RIF_CAN_service;1;3;BD %2%. Desconodifo el servicio RIF/CAN %3%.;clc
bd.Unknown_RIF_CAN_service;5;3;BD %2%. Unknown RIF/CAN service %3%.;clc
bd.Unknown_UL_DL_command;1;2;BD %2%. Desconocido comando UL/DL.;clc
bd.Unknown_UL_DL_command;5;2;BD %2%. Unknown UL/DL command.;clc
bd.Var_inconsistency;1;3;BD %2%. Un error de  inconsistencia en la configuración ha sido detectado. %3%.;clc
bd.Var_inconsistency;5;3;BD %2%. A wrong configuration variable was detected (var inconsistency). %3%.;clc
bd.Var_size_inconsistence;1;3;BD %2%. Un error de tamaño en la configuración ha sido detectado. %3%.;clc
bd.Var_size_inconsistence;5;3;BD %2%. A configuration variable with the wrong size was detected (var size inconsistence). %3%.;clc
bd.Version_code;1;3;BD %2%. Versión software %3% en LEU (cargada después de cada arranque).;clc
bd.Version_code;5;3;BD %2%. LEU-software version %3%, stored after every reboot.;clc
bd.Version_number_too_high;1;3;BD %2%. Número de versión %3% demasiado grande.;clc
bd.Version_number_too_high;5;3;BD %2%. Version number %3% too high.;clc
bd.WORD16_bad;1;3;BD %2%. El software ha detectado un tipo de datos no válido durante los test de arranque (WORD16 mal). %3%.;clc
bd.WORD16_bad;5;3;BD %2%. The software has detected an invalid data type during the startup tests (WORD16 bad). %3%.;clc
clc.Activation_failed;1;2;CLC %1% - %2% - Fallo de activación.;clc
clc.Activation_failed;5;2;CLC %1% - %2% - Activation failed.;clc
clc.BD_correctly_configured_channel;1;3;El canal %3% de la BD %2% conectada al CLC %1% fue correctamente configurada.;clc
